time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-11-18 09:37:01-05:00,SwingHigh,2874b50189a542d398d12974af27b467,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-18 09:37:01-05:00,SwingHigh,2874b50189a542d398d12974af27b467,SPY,buy,market,fill,1,gtc,0.0,1,stock,586.15,100.0,0.0
2024-11-18 09:43:01-05:00,SwingHigh,3e7fcad01dc94d15a92d047f5a657774,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-18 09:43:01-05:00,SwingHigh,3e7fcad01dc94d15a92d047f5a657774,SPY,buy,market,fill,1,gtc,0.0,1,stock,586.26,100.0,0.0
2024-11-18 15:59:00-05:00,SwingHigh,89e9fb275d28492c8f8d1d38cfbfd495,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-11-18 15:59:00-05:00,SwingHigh,89e9fb275d28492c8f8d1d38cfbfd495,SPY,sell,market,fill,1,day,0.0,1,stock,587.75,200.0,0.0
2024-11-19 09:31:01-05:00,SwingHigh,224a06645a9e4c1aa03ea7140d21a1d5,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-19 09:31:01-05:00,SwingHigh,224a06645a9e4c1aa03ea7140d21a1d5,SPY,buy,market,fill,1,gtc,0.0,1,stock,585.27,100.0,0.0
2024-11-19 09:34:01-05:00,SwingHigh,0ff2b6486604466987d5e2ece1c4ca10,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-19 09:34:01-05:00,SwingHigh,0ff2b6486604466987d5e2ece1c4ca10,SPY,buy,market,fill,1,gtc,0.0,1,stock,585.03,100.0,0.0
2024-11-19 15:59:00-05:00,SwingHigh,cec7c542a0044b65bea9cd3d9f6e41a4,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-11-19 15:59:00-05:00,SwingHigh,cec7c542a0044b65bea9cd3d9f6e41a4,SPY,sell,market,fill,1,day,0.0,1,stock,590.31,200.0,0.0
2024-11-20 09:30:00-05:00,SwingHigh,357c9b063d304e31b954e77f4cfa0983,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-20 09:30:00-05:00,SwingHigh,357c9b063d304e31b954e77f4cfa0983,SPY,buy,market,fill,1,gtc,0.0,1,stock,590.38,100.0,0.0
2024-11-20 09:31:01-05:00,SwingHigh,9f2e9e5c3f7a4fe48d3217ac2915ec33,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-20 09:31:01-05:00,SwingHigh,9f2e9e5c3f7a4fe48d3217ac2915ec33,SPY,buy,market,fill,1,gtc,0.0,1,stock,590.41,100.0,0.0
2024-11-20 15:59:00-05:00,SwingHigh,e6a72e8fad5a4ab580eb8b9e2195d406,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-11-20 15:59:00-05:00,SwingHigh,e6a72e8fad5a4ab580eb8b9e2195d406,SPY,sell,market,fill,1,day,0.0,1,stock,590.15,200.0,0.0
2024-11-21 09:51:01-05:00,SwingHigh,37debc425fde4350b22ec3a8701e2317,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-21 09:51:01-05:00,SwingHigh,37debc425fde4350b22ec3a8701e2317,SPY,buy,market,fill,1,gtc,0.0,1,stock,591.35,100.0,0.0
2024-11-21 10:03:01-05:00,SwingHigh,8dc64de628ba453998445cf31fee2032,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-21 10:03:01-05:00,SwingHigh,8dc64de628ba453998445cf31fee2032,SPY,buy,market,fill,1,gtc,0.0,1,stock,589.25,100.0,0.0
2024-11-21 15:59:00-05:00,SwingHigh,5b8e465bd0ee447cb236957361ccf141,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-11-21 15:59:00-05:00,SwingHigh,5b8e465bd0ee447cb236957361ccf141,SPY,sell,market,fill,1,day,0.0,1,stock,593.77,200.0,0.0
2024-11-22 09:32:01-05:00,SwingHigh,2f93f1e509e843d1a2e033eebdb48e17,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-22 09:32:01-05:00,SwingHigh,2f93f1e509e843d1a2e033eebdb48e17,SPY,buy,market,fill,1,gtc,0.0,1,stock,594.21,100.0,0.0
2024-11-22 09:33:01-05:00,SwingHigh,e2bff75146104d6bbb5515cc6c10e62f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-22 09:33:01-05:00,SwingHigh,e2bff75146104d6bbb5515cc6c10e62f,SPY,buy,market,fill,1,gtc,0.0,1,stock,594.39,100.0,0.0
2024-11-22 15:59:00-05:00,SwingHigh,0736f6e8192640ec917370e4fde42d74,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-11-22 15:59:00-05:00,SwingHigh,0736f6e8192640ec917370e4fde42d74,SPY,sell,market,fill,1,day,0.0,1,stock,595.88,200.0,0.0
