time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-11-18 09:37:01-05:00,SwingHigh,5aee325175ba4b7c8f6afe4a35b3b8e4,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-18 09:37:01-05:00,SwingHigh,5aee325175ba4b7c8f6afe4a35b3b8e4,SPY,buy,market,fill,1,gtc,0.0,1,stock,586.15,100.0,0.0
2024-11-18 09:43:01-05:00,SwingHigh,674290edeee94af4a0a136495e665e94,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-18 09:43:01-05:00,SwingHigh,674290edeee94af4a0a136495e665e94,SPY,buy,market,fill,1,gtc,0.0,1,stock,586.26,100.0,0.0
2024-11-18 15:59:00-05:00,SwingHigh,4b4165060ef94d9d9d0db5e5842e2d01,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-11-18 15:59:00-05:00,SwingHigh,4b4165060ef94d9d9d0db5e5842e2d01,SPY,sell,market,fill,1,day,0.0,1,stock,587.75,200.0,0.0
2024-11-19 09:31:01-05:00,SwingHigh,817fe1ed13824f438ed73fa733f1fbf9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-19 09:31:01-05:00,SwingHigh,817fe1ed13824f438ed73fa733f1fbf9,SPY,buy,market,fill,1,gtc,0.0,1,stock,585.27,100.0,0.0
2024-11-19 09:34:01-05:00,SwingHigh,50fbd9c8b96143f08b716dbc636692d4,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-19 09:34:01-05:00,SwingHigh,50fbd9c8b96143f08b716dbc636692d4,SPY,buy,market,fill,1,gtc,0.0,1,stock,585.03,100.0,0.0
2024-11-19 15:59:00-05:00,SwingHigh,de0d388b43f146dcbee1a8559dd55fca,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-11-19 15:59:00-05:00,SwingHigh,de0d388b43f146dcbee1a8559dd55fca,SPY,sell,market,fill,1,day,0.0,1,stock,590.31,200.0,0.0
2024-11-20 09:30:00-05:00,SwingHigh,d7cc211d7ac640df91299514460430cc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-20 09:30:00-05:00,SwingHigh,d7cc211d7ac640df91299514460430cc,SPY,buy,market,fill,1,gtc,0.0,1,stock,590.38,100.0,0.0
2024-11-20 09:31:01-05:00,SwingHigh,534b7cac35474a95a4ab5946c2dae30c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-20 09:31:01-05:00,SwingHigh,534b7cac35474a95a4ab5946c2dae30c,SPY,buy,market,fill,1,gtc,0.0,1,stock,590.41,100.0,0.0
2024-11-20 15:59:00-05:00,SwingHigh,4a29993d68be47699df1e0d14571c919,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-11-20 15:59:00-05:00,SwingHigh,4a29993d68be47699df1e0d14571c919,SPY,sell,market,fill,1,day,0.0,1,stock,590.15,200.0,0.0
2024-11-21 09:51:01-05:00,SwingHigh,44f281f37fb84bc49387225e2874df74,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-21 09:51:01-05:00,SwingHigh,44f281f37fb84bc49387225e2874df74,SPY,buy,market,fill,1,gtc,0.0,1,stock,591.35,100.0,0.0
2024-11-21 10:03:01-05:00,SwingHigh,656707f28c8c486aa19f0e871a20e31f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-21 10:03:01-05:00,SwingHigh,656707f28c8c486aa19f0e871a20e31f,SPY,buy,market,fill,1,gtc,0.0,1,stock,589.25,100.0,0.0
2024-11-21 15:59:00-05:00,SwingHigh,ca1420a1fef3485f9e1852cb4fa79371,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-11-21 15:59:00-05:00,SwingHigh,ca1420a1fef3485f9e1852cb4fa79371,SPY,sell,market,fill,1,day,0.0,1,stock,593.77,200.0,0.0
2024-11-22 09:32:01-05:00,SwingHigh,2229387d7eb04fcb8895dc261b681716,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-22 09:32:01-05:00,SwingHigh,2229387d7eb04fcb8895dc261b681716,SPY,buy,market,fill,1,gtc,0.0,1,stock,594.21,100.0,0.0
2024-11-22 09:33:01-05:00,SwingHigh,09c00035c2e54bea9130cef3f806a791,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-22 09:33:01-05:00,SwingHigh,09c00035c2e54bea9130cef3f806a791,SPY,buy,market,fill,1,gtc,0.0,1,stock,594.39,100.0,0.0
2024-11-22 15:59:00-05:00,SwingHigh,347b7b6f96b142e8a8853e5705122593,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-11-22 15:59:00-05:00,SwingHigh,347b7b6f96b142e8a8853e5705122593,SPY,sell,market,fill,1,day,0.0,1,stock,595.88,200.0,0.0
