time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-02-08 09:30:00-05:00,Trend,57db9ec8ac5849e6a8c79c0b173ab94c,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-08 09:30:00-05:00,Trend,57db9ec8ac5849e6a8c79c0b173ab94c,GLD,sell,market,fill,1,gtc,0.0,1,stock,174.94000244140625,285.0,0.0
2023-03-14 09:30:00-04:00,Trend,bcfd9a00af4744c887fe02ed99e38c49,GLD,buy,market,new,1,day,0.0,1,stock,,,
2023-03-14 09:30:00-04:00,Trend,984af5df476c44178031e49fdb5442bd,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-14 09:30:00-04:00,Trend,bcfd9a00af4744c887fe02ed99e38c49,GLD,buy,market,fill,1,day,0.0,1,stock,177.35000610351562,285.0,0.0
2023-03-14 09:30:00-04:00,Trend,984af5df476c44178031e49fdb5442bd,GLD,buy,market,fill,1,gtc,0.0,1,stock,177.35000610351562,422.0,0.0
2023-04-27 09:30:00-04:00,Trend,68b03823c9364a2d8fedc2f71d9895e7,GLD,sell,market,new,1,day,0.0,1,stock,,,
2023-04-27 09:30:00-04:00,Trend,6c72562636ca466dae8f496664607499,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-27 09:30:00-04:00,Trend,68b03823c9364a2d8fedc2f71d9895e7,GLD,sell,market,fill,1,day,0.0,1,stock,183.89999389648438,422.0,0.0
2023-04-27 09:30:00-04:00,Trend,6c72562636ca466dae8f496664607499,GLD,sell,market,fill,1,gtc,0.0,1,stock,183.89999389648438,66.0,0.0
2023-05-08 09:30:00-04:00,Trend,1dd8c1f8937142f0a89cc79547b56d43,GLD,buy,market,new,1,day,0.0,1,stock,,,
2023-05-08 09:30:00-04:00,Trend,8e2565867a8d42a5b5c9dd90efe2bb2d,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-08 09:30:00-04:00,Trend,1dd8c1f8937142f0a89cc79547b56d43,GLD,buy,market,fill,1,day,0.0,1,stock,187.82000732421875,66.0,0.0
2023-05-08 09:30:00-04:00,Trend,8e2565867a8d42a5b5c9dd90efe2bb2d,GLD,buy,market,fill,1,gtc,0.0,1,stock,187.82000732421875,304.0,0.0
2023-05-22 09:30:00-04:00,Trend,1d81ea5006af4d53a85d402fde0650fa,GLD,sell,market,new,1,day,0.0,1,stock,,,
2023-05-22 09:30:00-04:00,Trend,c902bb8b4a3f410ea3b9c1eb4482c2d4,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-22 09:30:00-04:00,Trend,1d81ea5006af4d53a85d402fde0650fa,GLD,sell,market,fill,1,day,0.0,1,stock,183.22000122070312,304.0,0.0
2023-05-22 09:30:00-04:00,Trend,c902bb8b4a3f410ea3b9c1eb4482c2d4,GLD,sell,market,fill,1,gtc,0.0,1,stock,183.22000122070312,122.0,0.0
2023-07-17 09:30:00-04:00,Trend,201a759ee8124277bc1d74744dfb2780,GLD,buy,market,new,1,day,0.0,1,stock,,,
2023-07-17 09:30:00-04:00,Trend,717a10bba0124bcd9f2b6004784b791e,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-17 09:30:00-04:00,Trend,201a759ee8124277bc1d74744dfb2780,GLD,buy,market,fill,1,day,0.0,1,stock,180.99000549316406,122.0,0.0
2023-07-17 09:30:00-04:00,Trend,717a10bba0124bcd9f2b6004784b791e,GLD,buy,market,fill,1,gtc,0.0,1,stock,180.99000549316406,339.0,0.0
2023-08-07 09:30:00-04:00,Trend,ee334feae60840d0867c74b9ba623c77,GLD,sell,market,new,1,day,0.0,1,stock,,,
2023-08-07 09:30:00-04:00,Trend,a53e9952193d46209732be6d7f3ee0b0,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-07 09:30:00-04:00,Trend,ee334feae60840d0867c74b9ba623c77,GLD,sell,market,fill,1,day,0.0,1,stock,180.14999389648438,339.0,0.0
2023-08-07 09:30:00-04:00,Trend,a53e9952193d46209732be6d7f3ee0b0,GLD,sell,market,fill,1,gtc,0.0,1,stock,180.14999389648438,109.0,0.0
2023-09-01 09:30:00-04:00,Trend,b0861e2b8784424da99c558e9fc69445,GLD,buy,market,new,1,day,0.0,1,stock,,,
2023-09-01 09:30:00-04:00,Trend,9a34c1e8588a42258a39bc36b56431f1,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-09-01 09:30:00-04:00,Trend,b0861e2b8784424da99c558e9fc69445,GLD,buy,market,fill,1,day,0.0,1,stock,180.8000030517578,109.0,0.0
2023-09-01 09:30:00-04:00,Trend,9a34c1e8588a42258a39bc36b56431f1,GLD,buy,market,fill,1,gtc,0.0,1,stock,180.8000030517578,331.0,0.0
2023-09-19 09:30:00-04:00,Trend,1050e5275a2244559e60516f5adfcd9e,GLD,sell,market,new,1,day,0.0,1,stock,,,
2023-09-19 09:30:00-04:00,Trend,6b33d16d28c14da599bdd0a53fc71329,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
